ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
TUR,West,2112843,Age specific fertility rate: 35-39,15,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A35,11763050,I,450001,1450001,Region,West,0,,0,1,FEFRTRWA35,TRDHS1993450001,1993,DHS,,,,,1
TUR,South,2112808,Age specific fertility rate: 35-39,39,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A35,11763050,I,450002,1450002,Region,South,0,,0,1,FEFRTRWA35,TRDHS1993450002,1993,DHS,,,,,1
TUR,Central,2112852,Age specific fertility rate: 35-39,39,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A35,11763050,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWA35,TRDHS1993450003,1993,DHS,,,,,1
TUR,North,2112856,Age specific fertility rate: 35-39,40,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A35,11763050,I,450004,1450004,Region,North,0,,0,1,FEFRTRWA35,TRDHS1993450004,1993,DHS,,,,,1
TUR,East,2105207,Age specific fertility rate: 35-39,118,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A35,11763050,I,450005,1450005,Region,East,0,,0,1,FEFRTRWA35,TRDHS1993450005,1993,DHS,,,,,1
TUR,West,2112821,Age specific fertility rate: 40-44,1,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A40,11763060,I,450001,1450001,Region,West,0,,0,1,FEFRTRWA40,TRDHS1993450001,1993,DHS,,,,,1
TUR,South,2112803,Age specific fertility rate: 40-44,12,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A40,11763060,I,450002,1450002,Region,South,0,,0,1,FEFRTRWA40,TRDHS1993450002,1993,DHS,,,,,1
TUR,Central,2112828,Age specific fertility rate: 40-44,13,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A40,11763060,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWA40,TRDHS1993450003,1993,DHS,,,,,1
TUR,North,2112844,Age specific fertility rate: 40-44,13,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A40,11763060,I,450004,1450004,Region,North,0,,0,1,FEFRTRWA40,TRDHS1993450004,1993,DHS,,,,,1
TUR,East,2105205,Age specific fertility rate: 40-44,46,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A40,11763060,I,450005,1450005,Region,East,0,,0,1,FEFRTRWA40,TRDHS1993450005,1993,DHS,,,,,1
TUR,West,2112819,Age specific fertility rate: 45-49,0,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A45,11763070,I,450001,1450001,Region,West,0,,0,1,FEFRTRWA45,TRDHS1993450001,1993,DHS,,,,,1
TUR,South,2112800,Age specific fertility rate: 45-49,0,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A45,11763070,I,450002,1450002,Region,South,0,,0,1,FEFRTRWA45,TRDHS1993450002,1993,DHS,,,,,1
