Location,Value
Aegean,45.76470588235294
Central,45.09
Central Anatolia,54.584848484848486
Central East Anatolia,86.87272727272727
East,76.77966101694915
East Black Sea,56.163636363636364
East Marmara,53.52
Istanbul,54.81142857142857
Mediterranean,62.108333333333334
North,47.27333333333333
Northeast Anatolia,88.45454545454545
South,48.215
Southeast Anatolia,109.69142857142857
West,39.14333333333333
West Anatolia,49.26176470588236
West Black Sea,51.09142857142857
West Marmara,42.909375
